step 0: train loss 3.5875, val loss 3.5876
iter 5050: loss 0.4297, time 472.71ms, mfu 27.22%
iter 5100: loss 0.4322, time 463.19ms, mfu 27.23%
iter 5150: loss 0.4373, time 456.07ms, mfu 27.29%
iter 5200: loss 0.4261, time 457.38ms, mfu 27.33%
iter 5250: loss 0.4289, time 457.27ms, mfu 27.37%
iter 5300: loss 0.4356, time 456.29ms, mfu 27.41%
iter 5350: loss 0.4420, time 463.70ms, mfu 27.41%
iter 5400: loss 0.4383, time 464.36ms, mfu 27.40%
iter 5450: loss 0.4196, time 454.19ms, mfu 27.45%
iter 5500: loss 0.4263, time 454.53ms, mfu 27.49%
iter 5550: loss 0.4312, time 454.33ms, mfu 27.53%
iter 5600: loss 0.4316, time 454.32ms, mfu 27.57%
iter 5650: loss 0.4311, time 454.55ms, mfu 27.60%
iter 5700: loss 0.4364, time 454.85ms, mfu 27.63%
iter 5750: loss 0.4251, time 456.67ms, mfu 27.64%
iter 5800: loss 0.4224, time 474.67ms, mfu 27.55%
iter 5850: loss 0.4319, time 454.98ms, mfu 27.58%
iter 5900: loss 0.4026, time 454.55ms, mfu 27.61%
iter 5950: loss 0.4259, time 457.56ms, mfu 27.62%
iter 6000: loss 0.4246, time 455.99ms, mfu 27.64%
iter 6050: loss 0.4299, time 462.89ms, mfu 27.61%
iter 6100: loss 0.4343, time 459.81ms, mfu 27.61%
iter 6150: loss 0.4094, time 478.42ms, mfu 27.50%
iter 6200: loss 0.4114, time 459.67ms, mfu 27.51%
iter 6250: loss 0.4274, time 454.23ms, mfu 27.55%
iter 6300: loss 0.4233, time 454.23ms, mfu 27.58%
iter 6350: loss 0.4092, time 454.69ms, mfu 27.61%
iter 6400: loss 0.4144, time 455.79ms, mfu 27.63%
iter 6450: loss 0.4096, time 460.77ms, mfu 27.62%
iter 6500: loss 0.4131, time 457.61ms, mfu 27.63%
iter 6550: loss 0.4152, time 461.48ms, mfu 27.61%
iter 6600: loss 0.4221, time 462.62ms, mfu 27.59%
iter 6650: loss 0.4104, time 456.55ms, mfu 27.61%
iter 6700: loss 0.4058, time 455.62ms, mfu 27.63%
iter 6750: loss 0.4130, time 460.00ms, mfu 27.62%
iter 6800: loss 0.4281, time 460.27ms, mfu 27.62%
iter 6850: loss 0.4108, time 462.04ms, mfu 27.60%
iter 6900: loss 0.4051, time 458.91ms, mfu 27.60%
iter 6950: loss 0.4167, time 459.36ms, mfu 27.60%
iter 7000: loss 0.4182, time 459.40ms, mfu 27.60%
iter 7050: loss 0.4194, time 461.18ms, mfu 27.59%
iter 7100: loss 0.3931, time 463.88ms, mfu 27.56%
iter 7150: loss 0.4082, time 463.13ms, mfu 27.54%
iter 7200: loss 0.3989, time 462.26ms, mfu 27.53%
iter 7250: loss 0.4045, time 474.80ms, mfu 27.45%
iter 7300: loss 0.4060, time 461.79ms, mfu 27.45%
iter 7350: loss 0.4106, time 458.07ms, mfu 27.47%
iter 7400: loss 0.4013, time 459.40ms, mfu 27.48%
iter 7450: loss 0.4022, time 472.91ms, mfu 27.42%
iter 7500: loss 0.4005, time 459.38ms, mfu 27.43%
iter 7550: loss 0.4051, time 459.38ms, mfu 27.45%
iter 7600: loss 0.4091, time 459.58ms, mfu 27.46%
iter 7650: loss 0.4053, time 462.49ms, mfu 27.46%
iter 7700: loss 0.4055, time 460.13ms, mfu 27.47%
iter 7750: loss 0.4074, time 459.54ms, mfu 27.48%
iter 7800: loss 0.4064, time 461.12ms, mfu 27.48%
iter 7850: loss 0.4089, time 459.65ms, mfu 27.49%
iter 7900: loss 0.4082, time 459.54ms, mfu 27.50%
iter 7950: loss 0.3994, time 459.88ms, mfu 27.51%
step 8000: train loss 0.4034, val loss 0.4040
saving checkpoint to out-stockfish
iter 8000: loss 0.4019, time 10714.30ms, mfu 24.88%
iter 8050: loss 0.3994, time 464.38ms, mfu 25.12%
iter 8100: loss 0.4016, time 456.60ms, mfu 25.38%
iter 8150: loss 0.4041, time 464.09ms, mfu 25.58%
iter 8200: loss 0.4150, time 457.10ms, mfu 25.79%
iter 8250: loss 0.4090, time 459.59ms, mfu 25.97%
iter 8300: loss 0.4038, time 454.70ms, mfu 26.16%
iter 8350: loss 0.3904, time 456.14ms, mfu 26.33%
iter 8400: loss 0.3930, time 455.35ms, mfu 26.48%
iter 8450: loss 0.3944, time 472.89ms, mfu 26.51%
iter 8500: loss 0.4003, time 456.18ms, mfu 26.64%
iter 8550: loss 0.3955, time 454.78ms, mfu 26.76%
iter 8600: loss 0.4055, time 454.55ms, mfu 26.87%
iter 8650: loss 0.3916, time 455.22ms, mfu 26.97%
iter 8700: loss 0.4070, time 455.15ms, mfu 27.06%
iter 8750: loss 0.3902, time 463.55ms, mfu 27.09%
iter 8800: loss 0.3936, time 454.21ms, mfu 27.17%
iter 8850: loss 0.4025, time 461.66ms, mfu 27.20%
iter 8900: loss 0.4003, time 464.28ms, mfu 27.21%
iter 8950: loss 0.3814, time 461.59ms, mfu 27.24%
iter 9000: loss 0.3845, time 466.83ms, mfu 27.23%
iter 9050: loss 0.3922, time 465.09ms, mfu 27.23%
iter 9100: loss 0.3996, time 466.89ms, mfu 27.22%
iter 9150: loss 0.3933, time 461.66ms, mfu 27.25%
iter 9200: loss 0.3875, time 462.89ms, mfu 27.26%
iter 9250: loss 0.3972, time 466.50ms, mfu 27.25%
iter 9300: loss 0.3825, time 464.67ms, mfu 27.26%
iter 9350: loss 0.3913, time 461.29ms, mfu 27.28%
iter 9400: loss 0.4012, time 472.41ms, mfu 27.23%
