step 120000: train loss 0.3326, val loss 0.3335
saving checkpoint to out-stockfish-8layer
iter 125000: loss 0.3411, time 227.54ms, mfu 27.46%
iter 125050: loss 0.3259, time 227.56ms, mfu 27.50%
iter 125100: loss 0.3253, time 229.98ms, mfu 27.51%
iter 125150: loss 0.3243, time 229.92ms, mfu 27.52%
iter 125200: loss 0.3297, time 227.52ms, mfu 27.55%
iter 125250: loss 0.3325, time 227.69ms, mfu 27.58%
iter 125300: loss 0.3269, time 228.41ms, mfu 27.60%
iter 125350: loss 0.3356, time 230.82ms, mfu 27.59%
iter 125400: loss 0.3317, time 227.52ms, mfu 27.61%
iter 125450: loss 0.3341, time 229.11ms, mfu 27.62%
iter 125500: loss 0.3245, time 230.86ms, mfu 27.60%
iter 125550: loss 0.3288, time 229.43ms, mfu 27.61%
iter 125600: loss 0.3414, time 229.94ms, mfu 27.60%
iter 125650: loss 0.3295, time 229.88ms, mfu 27.60%
iter 125700: loss 0.3268, time 227.52ms, mfu 27.63%
iter 125750: loss 0.3208, time 227.60ms, mfu 27.65%
iter 125800: loss 0.3303, time 227.62ms, mfu 27.67%
iter 125850: loss 0.3398, time 227.56ms, mfu 27.69%
iter 125900: loss 0.3295, time 227.72ms, mfu 27.71%
iter 125950: loss 0.3329, time 227.56ms, mfu 27.72%
iter 126000: loss 0.3381, time 227.57ms, mfu 27.74%
iter 126050: loss 0.3305, time 227.59ms, mfu 27.75%
iter 126100: loss 0.3326, time 227.51ms, mfu 27.76%
iter 126150: loss 0.3362, time 227.51ms, mfu 27.77%
iter 126200: loss 0.3281, time 227.61ms, mfu 27.78%
iter 126250: loss 0.3357, time 227.54ms, mfu 27.79%
iter 126300: loss 0.3234, time 227.53ms, mfu 27.80%
iter 126350: loss 0.3414, time 227.58ms, mfu 27.80%
iter 126400: loss 0.3316, time 227.61ms, mfu 27.81%
iter 126450: loss 0.3229, time 228.10ms, mfu 27.81%
iter 126500: loss 0.3366, time 227.48ms, mfu 27.81%
iter 126550: loss 0.3289, time 227.54ms, mfu 27.82%
iter 126600: loss 0.3243, time 231.02ms, mfu 27.78%
iter 126650: loss 0.3372, time 230.42ms, mfu 27.75%
iter 126700: loss 0.3271, time 229.93ms, mfu 27.74%
iter 126750: loss 0.3278, time 229.64ms, mfu 27.72%
iter 126800: loss 0.3364, time 228.80ms, mfu 27.72%
iter 126850: loss 0.3355, time 227.60ms, mfu 27.74%
iter 126900: loss 0.3321, time 227.55ms, mfu 27.75%
iter 126950: loss 0.3413, time 227.59ms, mfu 27.76%
iter 127000: loss 0.3304, time 227.71ms, mfu 27.77%
iter 127050: loss 0.3237, time 227.58ms, mfu 27.78%
iter 127100: loss 0.3301, time 227.55ms, mfu 27.79%
iter 127150: loss 0.3326, time 227.52ms, mfu 27.79%
iter 127200: loss 0.3289, time 227.47ms, mfu 27.80%
iter 127250: loss 0.3312, time 227.50ms, mfu 27.81%
iter 127300: loss 0.3319, time 227.49ms, mfu 27.81%
iter 127350: loss 0.3315, time 227.43ms, mfu 27.82%
iter 127400: loss 0.3377, time 229.86ms, mfu 27.80%
iter 127450: loss 0.3228, time 228.05ms, mfu 27.80%
iter 127500: loss 0.3252, time 227.53ms, mfu 27.80%
iter 127550: loss 0.3307, time 227.64ms, mfu 27.81%
iter 127600: loss 0.3348, time 230.88ms, mfu 27.77%
iter 127650: loss 0.3225, time 229.22ms, mfu 27.76%
iter 127700: loss 0.3272, time 231.11ms, mfu 27.73%
iter 127750: loss 0.3312, time 229.54ms, mfu 27.72%
iter 127800: loss 0.3331, time 229.77ms, mfu 27.71%
iter 127850: loss 0.3337, time 228.60ms, mfu 27.71%
iter 127900: loss 0.3236, time 227.55ms, mfu 27.73%
iter 127950: loss 0.3365, time 229.98ms, mfu 27.71%
step 128000: train loss 0.3310, val loss 0.3306
saving checkpoint to out-stockfish-8layer
iter 128000: loss 0.3403, time 5465.82ms, mfu 25.05%
iter 128050: loss 0.3305, time 227.71ms, mfu 25.33%
iter 128100: loss 0.3299, time 230.71ms, mfu 25.55%
iter 128150: loss 0.3369, time 231.22ms, mfu 25.74%
iter 128200: loss 0.3210, time 227.58ms, mfu 25.95%
