step 376000: train loss 0.3068, val loss 0.3083
saving checkpoint to out-stockfish-small-8
iter 376000: loss 0.2897, time 5956.03ms, mfu -100.00%
iter 376050: loss 0.2953, time 303.92ms, mfu 27.82%
iter 376100: loss 0.3004, time 303.30ms, mfu 27.82%
iter 376150: loss 0.3063, time 303.57ms, mfu 27.82%
iter 376200: loss 0.3014, time 303.82ms, mfu 27.82%
iter 376250: loss 0.3067, time 303.76ms, mfu 27.82%
iter 376300: loss 0.2975, time 303.77ms, mfu 27.83%
iter 376350: loss 0.3115, time 303.83ms, mfu 27.82%
iter 376400: loss 0.3061, time 302.93ms, mfu 27.83%
iter 376450: loss 0.3018, time 303.71ms, mfu 27.83%
iter 376500: loss 0.3007, time 304.72ms, mfu 27.82%
iter 376550: loss 0.3000, time 304.10ms, mfu 27.82%
iter 376600: loss 0.2978, time 302.64ms, mfu 27.83%
iter 376650: loss 0.3051, time 305.25ms, mfu 27.82%
iter 376700: loss 0.3113, time 304.21ms, mfu 27.82%
iter 376750: loss 0.3056, time 304.34ms, mfu 27.81%
iter 376800: loss 0.3018, time 303.98ms, mfu 27.81%
iter 376850: loss 0.3026, time 302.54ms, mfu 27.83%
iter 376900: loss 0.3078, time 304.30ms, mfu 27.82%
iter 376950: loss 0.3036, time 303.14ms, mfu 27.83%
iter 377000: loss 0.3112, time 305.90ms, mfu 27.81%
iter 377050: loss 0.3033, time 304.13ms, mfu 27.81%
iter 377100: loss 0.2985, time 303.75ms, mfu 27.81%
iter 377150: loss 0.2962, time 302.93ms, mfu 27.82%
iter 377200: loss 0.3050, time 304.18ms, mfu 27.82%
iter 377250: loss 0.3045, time 302.73ms, mfu 27.83%
iter 377300: loss 0.3023, time 302.69ms, mfu 27.84%
iter 377350: loss 0.3029, time 302.71ms, mfu 27.85%
iter 377400: loss 0.2965, time 302.77ms, mfu 27.85%
iter 377450: loss 0.3188, time 304.21ms, mfu 27.85%
iter 377500: loss 0.3104, time 303.81ms, mfu 27.85%
iter 377550: loss 0.2929, time 304.24ms, mfu 27.84%
iter 377600: loss 0.3096, time 303.60ms, mfu 27.84%
iter 377650: loss 0.2989, time 302.85ms, mfu 27.85%
iter 377700: loss 0.3049, time 304.53ms, mfu 27.84%
iter 377750: loss 0.3056, time 302.86ms, mfu 27.85%
iter 377800: loss 0.3145, time 305.14ms, mfu 27.83%
iter 377850: loss 0.3022, time 304.04ms, mfu 27.83%
iter 377900: loss 0.3023, time 304.53ms, mfu 27.82%
iter 377950: loss 0.3078, time 303.67ms, mfu 27.82%
iter 378000: loss 0.3013, time 302.96ms, mfu 27.83%
iter 378050: loss 0.2980, time 306.57ms, mfu 27.81%
iter 378100: loss 0.3072, time 305.88ms, mfu 27.79%
iter 378150: loss 0.2970, time 661.70ms, mfu 26.29%
iter 378200: loss 0.3131, time 661.51ms, mfu 24.94%
iter 378250: loss 0.2976, time 653.26ms, mfu 23.74%
iter 378300: loss 0.2994, time 304.09ms, mfu 24.14%
iter 378350: loss 0.3118, time 661.02ms, mfu 23.01%
iter 378400: loss 0.3060, time 658.24ms, mfu 21.99%
