step 0: train loss 3.7095, val loss 3.7091
iter 5050: loss 0.5251, time 101.88ms, mfu 26.52%
iter 5100: loss 0.5445, time 101.87ms, mfu 26.60%
iter 5150: loss 0.5495, time 105.78ms, mfu 26.56%
iter 5200: loss 0.5342, time 101.84ms, mfu 26.63%
iter 5250: loss 0.5502, time 101.90ms, mfu 26.70%
iter 5300: loss 0.5320, time 101.87ms, mfu 26.75%
iter 5350: loss 0.5475, time 101.86ms, mfu 26.80%
iter 5400: loss 0.5331, time 101.93ms, mfu 26.85%
iter 5450: loss 0.5260, time 101.87ms, mfu 26.89%
iter 5500: loss 0.5596, time 101.91ms, mfu 26.93%
iter 5550: loss 0.5309, time 101.90ms, mfu 26.96%
iter 5600: loss 0.5412, time 105.48ms, mfu 26.90%
iter 5650: loss 0.5334, time 104.84ms, mfu 26.86%
iter 5700: loss 0.5248, time 101.88ms, mfu 26.90%
iter 5750: loss 0.5591, time 103.26ms, mfu 26.90%
iter 5800: loss 0.5188, time 105.86ms, mfu 26.83%
iter 5850: loss 0.5298, time 101.92ms, mfu 26.87%
iter 5900: loss 0.5455, time 102.03ms, mfu 26.91%
iter 5950: loss 0.5466, time 102.03ms, mfu 26.94%
iter 6000: loss 0.5368, time 102.03ms, mfu 26.97%
iter 6050: loss 0.5432, time 102.17ms, mfu 26.99%
iter 6100: loss 0.5260, time 103.96ms, mfu 26.96%
iter 6150: loss 0.5426, time 105.84ms, mfu 26.89%
iter 6200: loss 0.5340, time 102.13ms, mfu 26.92%
iter 6250: loss 0.5183, time 102.24ms, mfu 26.95%
iter 6300: loss 0.5446, time 102.12ms, mfu 26.97%
iter 6350: loss 0.5271, time 102.59ms, mfu 26.98%
iter 6400: loss 0.5227, time 106.09ms, mfu 26.90%
iter 6450: loss 0.5293, time 105.24ms, mfu 26.85%
iter 6500: loss 0.5259, time 102.14ms, mfu 26.89%
iter 6550: loss 0.5504, time 106.03ms, mfu 26.82%
iter 6600: loss 0.4932, time 102.31ms, mfu 26.85%
iter 6650: loss 0.5213, time 102.13ms, mfu 26.88%
iter 6700: loss 0.5209, time 102.08ms, mfu 26.92%
iter 6750: loss 0.5404, time 104.61ms, mfu 26.88%
iter 6800: loss 0.5088, time 106.91ms, mfu 26.79%
iter 6850: loss 0.5142, time 102.57ms, mfu 26.82%
iter 6900: loss 0.5207, time 104.06ms, mfu 26.81%
iter 6950: loss 0.5332, time 104.25ms, mfu 26.79%
iter 7000: loss 0.5089, time 102.60ms, mfu 26.82%
iter 7050: loss 0.5146, time 102.50ms, mfu 26.85%
iter 7100: loss 0.5129, time 105.89ms, mfu 26.79%
iter 7150: loss 0.5252, time 102.47ms, mfu 26.82%
iter 7200: loss 0.5091, time 103.03ms, mfu 26.83%
iter 7250: loss 0.5054, time 106.29ms, mfu 26.76%
iter 7300: loss 0.5295, time 102.47ms, mfu 26.80%
iter 7350: loss 0.5237, time 102.53ms, mfu 26.83%
iter 7400: loss 0.5221, time 103.37ms, mfu 26.83%
iter 7450: loss 0.5033, time 104.47ms, mfu 26.81%
iter 7500: loss 0.5310, time 106.48ms, mfu 26.73%
iter 7550: loss 0.5352, time 102.53ms, mfu 26.77%
iter 7600: loss 0.5151, time 102.43ms, mfu 26.80%
iter 7650: loss 0.5186, time 104.65ms, mfu 26.78%
iter 7700: loss 0.5163, time 105.88ms, mfu 26.72%
iter 7750: loss 0.5133, time 102.76ms, mfu 26.75%
iter 7800: loss 0.5029, time 108.20ms, mfu 26.65%
iter 7850: loss 0.4854, time 106.26ms, mfu 26.60%
iter 7900: loss 0.5131, time 106.07ms, mfu 26.55%
iter 7950: loss 0.5261, time 108.46ms, mfu 26.46%
step 8000: train loss 0.5179, val loss 0.5163
saving checkpoint to out-stockfish
iter 8000: loss 0.5285, time 2666.47ms, mfu 23.92%
iter 8050: loss 0.5043, time 106.82ms, mfu 24.13%
iter 8100: loss 0.5269, time 102.61ms, mfu 24.42%
iter 8150: loss 0.5166, time 105.33ms, mfu 24.62%
iter 8200: loss 0.5092, time 101.92ms, mfu 24.88%
iter 8250: loss 0.5315, time 101.94ms, mfu 25.12%
iter 8300: loss 0.5232, time 101.93ms, mfu 25.33%
iter 8350: loss 0.5312, time 101.93ms, mfu 25.52%
iter 8400: loss 0.5026, time 101.86ms, mfu 25.70%
iter 8450: loss 0.5136, time 101.85ms, mfu 25.85%
iter 8500: loss 0.5052, time 103.43ms, mfu 25.95%
iter 8550: loss 0.5088, time 105.11ms, mfu 26.00%
iter 8600: loss 0.5363, time 104.83ms, mfu 26.05%
iter 8650: loss 0.5071, time 101.90ms, mfu 26.17%
iter 8700: loss 0.5253, time 104.80ms, mfu 26.20%
iter 8750: loss 0.5410, time 104.85ms, mfu 26.23%
iter 8800: loss 0.5149, time 104.54ms, mfu 26.27%
iter 8850: loss 0.5045, time 105.77ms, mfu 26.27%
iter 8900: loss 0.4982, time 104.57ms, mfu 26.30%
