step 0: train loss 3.5803, val loss 3.5800
iter 5050: loss 0.4616, time 230.13ms, mfu 27.50%
iter 5100: loss 0.4646, time 230.78ms, mfu 27.50%
iter 5150: loss 0.4601, time 227.46ms, mfu 27.54%
iter 5200: loss 0.4647, time 227.56ms, mfu 27.57%
iter 5250: loss 0.4759, time 231.07ms, mfu 27.56%
iter 5300: loss 0.4578, time 227.38ms, mfu 27.59%
iter 5350: loss 0.4696, time 227.52ms, mfu 27.62%
iter 5400: loss 0.4636, time 227.44ms, mfu 27.64%
iter 5450: loss 0.4634, time 229.89ms, mfu 27.64%
iter 5500: loss 0.4560, time 227.41ms, mfu 27.66%
iter 5550: loss 0.4567, time 229.87ms, mfu 27.65%
iter 5600: loss 0.4701, time 227.41ms, mfu 27.68%
iter 5650: loss 0.4541, time 227.44ms, mfu 27.70%
iter 5700: loss 0.4552, time 229.58ms, mfu 27.69%
iter 5750: loss 0.4452, time 227.38ms, mfu 27.71%
iter 5800: loss 0.4611, time 227.47ms, mfu 27.72%
iter 5850: loss 0.4667, time 230.78ms, mfu 27.70%
iter 5900: loss 0.4548, time 229.83ms, mfu 27.69%
iter 5950: loss 0.4591, time 227.41ms, mfu 27.71%
iter 6000: loss 0.4682, time 227.48ms, mfu 27.72%
iter 6050: loss 0.4531, time 227.35ms, mfu 27.74%
iter 6100: loss 0.4563, time 227.47ms, mfu 27.75%
iter 6150: loss 0.4614, time 227.45ms, mfu 27.77%
iter 6200: loss 0.4530, time 227.97ms, mfu 27.77%
iter 6250: loss 0.4564, time 227.37ms, mfu 27.78%
iter 6300: loss 0.4464, time 227.44ms, mfu 27.79%
iter 6350: loss 0.4589, time 227.45ms, mfu 27.80%
iter 6400: loss 0.4514, time 227.42ms, mfu 27.81%
iter 6450: loss 0.4439, time 227.35ms, mfu 27.82%
iter 6500: loss 0.4744, time 227.46ms, mfu 27.82%
iter 6550: loss 0.4486, time 227.47ms, mfu 27.83%
iter 6600: loss 0.4396, time 227.51ms, mfu 27.83%
iter 6650: loss 0.4537, time 227.45ms, mfu 27.84%
iter 6700: loss 0.4425, time 227.82ms, mfu 27.83%
iter 6750: loss 0.4393, time 230.22ms, mfu 27.81%
iter 6800: loss 0.4486, time 230.80ms, mfu 27.77%
iter 6850: loss 0.4545, time 227.46ms, mfu 27.78%
iter 6900: loss 0.4471, time 227.56ms, mfu 27.79%
iter 6950: loss 0.4559, time 227.64ms, mfu 27.80%
iter 7000: loss 0.4434, time 231.18ms, mfu 27.76%
iter 7050: loss 0.4364, time 231.07ms, mfu 27.73%
iter 7100: loss 0.4338, time 229.67ms, mfu 27.72%
iter 7150: loss 0.4389, time 227.48ms, mfu 27.73%
iter 7200: loss 0.4368, time 227.47ms, mfu 27.75%
iter 7250: loss 0.4393, time 230.31ms, mfu 27.72%
iter 7300: loss 0.4433, time 227.57ms, mfu 27.74%
iter 7350: loss 0.4371, time 227.60ms, mfu 27.75%
iter 7400: loss 0.4446, time 227.48ms, mfu 27.76%
iter 7450: loss 0.4330, time 230.51ms, mfu 27.74%
iter 7500: loss 0.4378, time 229.24ms, mfu 27.73%
iter 7550: loss 0.4393, time 229.77ms, mfu 27.71%
iter 7600: loss 0.4365, time 227.72ms, mfu 27.73%
iter 7650: loss 0.4301, time 229.96ms, mfu 27.71%
iter 7700: loss 0.4290, time 230.92ms, mfu 27.69%
iter 7750: loss 0.4329, time 227.50ms, mfu 27.70%
iter 7800: loss 0.4368, time 228.37ms, mfu 27.71%
iter 7850: loss 0.4317, time 227.68ms, mfu 27.72%
iter 7900: loss 0.4244, time 230.98ms, mfu 27.70%
iter 7950: loss 0.4398, time 228.60ms, mfu 27.70%
step 8000: train loss 0.4318, val loss 0.4306
saving checkpoint to out-stockfish
iter 8000: loss 0.4380, time 5466.71ms, mfu 25.05%
iter 8050: loss 0.4342, time 227.50ms, mfu 25.33%
iter 8100: loss 0.4283, time 229.46ms, mfu 25.56%
iter 8150: loss 0.4388, time 230.26ms, mfu 25.76%
iter 8200: loss 0.4202, time 231.09ms, mfu 25.92%
iter 8250: loss 0.4324, time 227.53ms, mfu 26.12%
iter 8300: loss 0.4392, time 227.39ms, mfu 26.30%
iter 8350: loss 0.4378, time 229.92ms, mfu 26.42%
iter 8400: loss 0.4337, time 230.00ms, mfu 26.54%
iter 8450: loss 0.4297, time 227.44ms, mfu 26.67%
iter 8500: loss 0.4309, time 230.65ms, mfu 26.75%
iter 8550: loss 0.4203, time 230.01ms, mfu 26.83%
iter 8600: loss 0.4249, time 228.63ms, mfu 26.92%
iter 8650: loss 0.4195, time 227.48ms, mfu 27.02%
iter 8700: loss 0.4336, time 227.54ms, mfu 27.10%
iter 8750: loss 0.4179, time 230.85ms, mfu 27.14%
iter 8800: loss 0.4435, time 230.82ms, mfu 27.17%
iter 8850: loss 0.4206, time 229.74ms, mfu 27.22%
iter 8900: loss 0.4209, time 227.41ms, mfu 27.28%
iter 8950: loss 0.4274, time 230.13ms, mfu 27.31%
iter 9000: loss 0.4150, time 228.23ms, mfu 27.36%
iter 9050: loss 0.4236, time 227.50ms, mfu 27.41%
iter 9100: loss 0.4218, time 230.11ms, mfu 27.42%
iter 9150: loss 0.4182, time 227.57ms, mfu 27.47%
iter 9200: loss 0.4210, time 227.37ms, mfu 27.51%
iter 9250: loss 0.4249, time 227.45ms, mfu 27.54%
iter 9300: loss 0.4210, time 229.92ms, mfu 27.55%
iter 9350: loss 0.4242, time 230.55ms, mfu 27.54%
iter 9400: loss 0.4156, time 227.54ms, mfu 27.58%
iter 9450: loss 0.4152, time 227.50ms, mfu 27.60%
iter 9500: loss 0.4145, time 227.50ms, mfu 27.63%
iter 9550: loss 0.4263, time 227.66ms, mfu 27.65%
iter 9600: loss 0.4176, time 227.53ms, mfu 27.67%
iter 9650: loss 0.4249, time 227.40ms, mfu 27.70%
iter 9700: loss 0.4142, time 227.43ms, mfu 27.71%
iter 9750: loss 0.4269, time 227.48ms, mfu 27.73%
iter 9800: loss 0.4192, time 227.51ms, mfu 27.74%
iter 9850: loss 0.4198, time 227.48ms, mfu 27.76%
iter 9900: loss 0.4071, time 230.22ms, mfu 27.73%
iter 9950: loss 0.4202, time 227.52ms, mfu 27.75%
iter 10000: loss 0.4250, time 230.15ms, mfu 27.73%
iter 10050: loss 0.4222, time 230.95ms, mfu 27.70%
iter 10100: loss 0.4212, time 227.39ms, mfu 27.72%
iter 10150: loss 0.4200, time 227.45ms, mfu 27.73%
iter 10200: loss 0.4166, time 229.95ms, mfu 27.72%
iter 10250: loss 0.4213, time 227.59ms, mfu 27.73%
iter 10300: loss 0.4230, time 227.44ms, mfu 27.75%
iter 10350: loss 0.4152, time 229.56ms, mfu 27.73%
iter 10400: loss 0.3965, time 230.78ms, mfu 27.71%
iter 10450: loss 0.4113, time 230.79ms, mfu 27.68%
iter 10500: loss 0.4104, time 227.52ms, mfu 27.70%
iter 10550: loss 0.4160, time 229.60ms, mfu 27.69%
iter 10600: loss 0.4049, time 227.63ms, mfu 27.71%
iter 10650: loss 0.4164, time 230.78ms, mfu 27.69%
iter 10700: loss 0.4225, time 227.46ms, mfu 27.71%
iter 10750: loss 0.4260, time 227.44ms, mfu 27.72%
iter 10800: loss 0.4150, time 227.42ms, mfu 27.74%
iter 10850: loss 0.4038, time 227.43ms, mfu 27.75%
iter 10900: loss 0.4240, time 227.52ms, mfu 27.76%
iter 10950: loss 0.4205, time 227.43ms, mfu 27.77%
iter 11000: loss 0.4050, time 227.48ms, mfu 27.78%
iter 11050: loss 0.4177, time 227.41ms, mfu 27.79%
iter 11100: loss 0.4017, time 227.59ms, mfu 27.80%
iter 11150: loss 0.4229, time 227.46ms, mfu 27.81%
iter 11200: loss 0.4060, time 230.35ms, mfu 27.78%
iter 11250: loss 0.4109, time 227.49ms, mfu 27.79%
iter 11300: loss 0.4115, time 227.34ms, mfu 27.80%
iter 11350: loss 0.4199, time 230.32ms, mfu 27.77%
iter 11400: loss 0.4095, time 227.42ms, mfu 27.78%
iter 11450: loss 0.4116, time 227.45ms, mfu 27.79%
iter 11500: loss 0.4196, time 227.43ms, mfu 27.80%
iter 11550: loss 0.4001, time 227.44ms, mfu 27.81%
iter 11600: loss 0.4074, time 227.49ms, mfu 27.81%
iter 11650: loss 0.4090, time 227.50ms, mfu 27.82%
iter 11700: loss 0.4054, time 227.47ms, mfu 27.83%
iter 11750: loss 0.4100, time 229.18ms, mfu 27.81%
iter 11800: loss 0.4090, time 227.45ms, mfu 27.82%
iter 11850: loss 0.4077, time 230.78ms, mfu 27.78%
iter 11900: loss 0.4041, time 227.51ms, mfu 27.79%
iter 11950: loss 0.4066, time 227.42ms, mfu 27.80%
step 12000: train loss 0.4062, val loss 0.4082
saving checkpoint to out-stockfish
iter 12000: loss 0.4039, time 5448.14ms, mfu 25.14%
iter 12050: loss 0.4139, time 230.84ms, mfu 25.37%
iter 12100: loss 0.4114, time 229.02ms, mfu 25.60%
iter 12150: loss 0.3979, time 228.05ms, mfu 25.82%
iter 12200: loss 0.4082, time 227.49ms, mfu 26.03%
iter 12250: loss 0.4080, time 227.44ms, mfu 26.21%
iter 12300: loss 0.4135, time 227.44ms, mfu 26.38%
iter 12350: loss 0.4146, time 227.48ms, mfu 26.53%
iter 12400: loss 0.4010, time 227.42ms, mfu 26.66%
iter 12450: loss 0.4028, time 227.43ms, mfu 26.78%
iter 12500: loss 0.4026, time 227.50ms, mfu 26.89%
iter 12550: loss 0.4076, time 227.56ms, mfu 26.99%
iter 12600: loss 0.4067, time 229.35ms, mfu 27.05%
