step 0: train loss 3.6089, val loss 3.6095
iter 4900: loss 0.4191, time 1215.36ms, mfu 30.87%
iter 4950: loss 0.4133, time 1213.88ms, mfu 30.92%
iter 5000: loss 0.4231, time 1215.27ms, mfu 30.95%
iter 5050: loss 0.4335, time 1214.87ms, mfu 30.99%
iter 5100: loss 0.4174, time 1215.54ms, mfu 31.02%
iter 5150: loss 0.4383, time 1215.14ms, mfu 31.05%
iter 5200: loss 0.4006, time 1218.08ms, mfu 31.06%
iter 5250: loss 0.3989, time 1217.36ms, mfu 31.08%
iter 5300: loss 0.4009, time 1212.75ms, mfu 31.11%
iter 5350: loss 0.3920, time 1212.37ms, mfu 31.13%
iter 5400: loss 0.4026, time 1215.47ms, mfu 31.15%
iter 5450: loss 0.4199, time 1212.79ms, mfu 31.17%
iter 5500: loss 0.4036, time 1213.92ms, mfu 31.19%
iter 5550: loss 0.4054, time 1213.67ms, mfu 31.20%
iter 5600: loss 0.4111, time 1218.47ms, mfu 31.20%
iter 5650: loss 0.4027, time 1217.91ms, mfu 31.20%
iter 5700: loss 0.3967, time 1214.68ms, mfu 31.21%
iter 5750: loss 0.4079, time 1219.44ms, mfu 31.21%
iter 5800: loss 0.4189, time 1216.31ms, mfu 31.22%
iter 5850: loss 0.3962, time 1216.25ms, mfu 31.22%
iter 5900: loss 0.4065, time 1212.80ms, mfu 31.23%
iter 5950: loss 0.4056, time 1212.29ms, mfu 31.25%
iter 6000: loss 0.3969, time 1217.62ms, mfu 31.25%
iter 6050: loss 0.4031, time 1213.71ms, mfu 31.25%
iter 6100: loss 0.3928, time 1215.33ms, mfu 31.26%
iter 6150: loss 0.3984, time 1213.51ms, mfu 31.27%
iter 6200: loss 0.3826, time 1216.31ms, mfu 31.27%
iter 6250: loss 0.3922, time 1214.72ms, mfu 31.27%
iter 6300: loss 0.4111, time 1215.41ms, mfu 31.27%
iter 6350: loss 0.3800, time 1217.50ms, mfu 31.27%
iter 6400: loss 0.3939, time 1217.22ms, mfu 31.27%
iter 6450: loss 0.3861, time 1212.60ms, mfu 31.27%
iter 6500: loss 0.3892, time 1215.95ms, mfu 31.27%
iter 6550: loss 0.3963, time 1216.37ms, mfu 31.27%
