step 56000: train loss 0.3220, val loss 0.3235
saving checkpoint to out-stockfish-16layer
iter 61000: loss 0.3256, time 470.07ms, mfu 27.12%
iter 61050: loss 0.3167, time 472.09ms, mfu 27.09%
iter 61100: loss 0.3215, time 455.42ms, mfu 27.17%
iter 61150: loss 0.3224, time 454.19ms, mfu 27.24%
iter 61200: loss 0.3187, time 466.60ms, mfu 27.23%
iter 61250: loss 0.3227, time 456.74ms, mfu 27.29%
iter 61300: loss 0.3238, time 457.77ms, mfu 27.33%
iter 61350: loss 0.3286, time 476.24ms, mfu 27.26%
iter 61400: loss 0.3259, time 474.89ms, mfu 27.20%
iter 61450: loss 0.3158, time 454.28ms, mfu 27.27%
iter 61500: loss 0.3156, time 463.74ms, mfu 27.28%
iter 61550: loss 0.3241, time 476.46ms, mfu 27.21%
iter 61600: loss 0.3254, time 458.60ms, mfu 27.25%
iter 61650: loss 0.3242, time 454.31ms, mfu 27.32%
iter 61700: loss 0.3242, time 471.39ms, mfu 27.28%
iter 61750: loss 0.3163, time 460.09ms, mfu 27.30%
iter 61800: loss 0.3169, time 464.79ms, mfu 27.30%
iter 61850: loss 0.3283, time 462.20ms, mfu 27.31%
iter 61900: loss 0.3000, time 458.97ms, mfu 27.34%
iter 61950: loss 0.3226, time 459.22ms, mfu 27.37%
iter 62000: loss 0.3175, time 459.41ms, mfu 27.39%
iter 62050: loss 0.3259, time 460.06ms, mfu 27.41%
iter 62100: loss 0.3320, time 459.44ms, mfu 27.43%
iter 62150: loss 0.3132, time 459.37ms, mfu 27.45%
iter 62200: loss 0.3080, time 462.39ms, mfu 27.44%
iter 62250: loss 0.3250, time 459.18ms, mfu 27.46%
iter 62300: loss 0.3293, time 459.88ms, mfu 27.47%
iter 62350: loss 0.3124, time 459.24ms, mfu 27.48%
iter 62400: loss 0.3197, time 460.15ms, mfu 27.49%
iter 62450: loss 0.3099, time 457.98ms, mfu 27.51%
iter 62500: loss 0.3157, time 459.55ms, mfu 27.52%
iter 62550: loss 0.3154, time 464.65ms, mfu 27.49%
iter 62600: loss 0.3249, time 458.49ms, mfu 27.51%
iter 62650: loss 0.3220, time 459.27ms, mfu 27.52%
iter 62700: loss 0.3087, time 454.75ms, mfu 27.55%
iter 62750: loss 0.3146, time 475.37ms, mfu 27.47%
iter 62800: loss 0.3174, time 467.33ms, mfu 27.43%
iter 62850: loss 0.3211, time 468.26ms, mfu 27.40%
iter 62900: loss 0.3151, time 470.06ms, mfu 27.35%
iter 62950: loss 0.3261, time 464.39ms, mfu 27.35%
iter 63000: loss 0.3260, time 465.02ms, mfu 27.34%
iter 63050: loss 0.3267, time 464.05ms, mfu 27.34%
iter 63100: loss 0.3085, time 468.40ms, mfu 27.31%
iter 63150: loss 0.3170, time 468.06ms, mfu 27.29%
iter 63200: loss 0.3120, time 466.30ms, mfu 27.28%
iter 63250: loss 0.3139, time 466.98ms, mfu 27.26%
iter 63300: loss 0.3178, time 465.53ms, mfu 27.26%
iter 63350: loss 0.3233, time 459.83ms, mfu 27.29%
iter 63400: loss 0.3132, time 464.82ms, mfu 27.29%
iter 63450: loss 0.3157, time 461.62ms, mfu 27.31%
iter 63500: loss 0.3129, time 468.22ms, mfu 27.28%
iter 63550: loss 0.3127, time 464.34ms, mfu 27.29%
iter 63600: loss 0.3221, time 466.03ms, mfu 27.28%
iter 63650: loss 0.3212, time 465.10ms, mfu 27.28%
iter 63700: loss 0.3198, time 465.01ms, mfu 27.27%
iter 63750: loss 0.3206, time 464.41ms, mfu 27.28%
iter 63800: loss 0.3208, time 466.98ms, mfu 27.26%
iter 63850: loss 0.3233, time 462.45ms, mfu 27.28%
iter 63900: loss 0.3212, time 468.40ms, mfu 27.26%
iter 63950: loss 0.3159, time 460.44ms, mfu 27.29%
step 64000: train loss 0.3196, val loss 0.3207
saving checkpoint to out-stockfish-16layer
iter 64000: loss 0.3156, time 10858.20ms, mfu 24.67%
iter 64050: loss 0.3146, time 455.58ms, mfu 24.99%
iter 64100: loss 0.3180, time 454.63ms, mfu 25.28%
iter 64150: loss 0.3240, time 464.16ms, mfu 25.48%
iter 64200: loss 0.3313, time 460.52ms, mfu 25.69%
iter 64250: loss 0.3253, time 459.92ms, mfu 25.87%
iter 64300: loss 0.3226, time 453.74ms, mfu 26.08%
iter 64350: loss 0.3100, time 465.82ms, mfu 26.19%
iter 64400: loss 0.3137, time 461.25ms, mfu 26.32%
iter 64450: loss 0.3174, time 456.00ms, mfu 26.47%
iter 64500: loss 0.3229, time 469.65ms, mfu 26.52%
iter 64550: loss 0.3121, time 458.12ms, mfu 26.64%
iter 64600: loss 0.3219, time 454.32ms, mfu 26.76%
iter 64650: loss 0.3136, time 454.88ms, mfu 26.88%
iter 64700: loss 0.3256, time 469.61ms, mfu 26.89%
iter 64750: loss 0.3164, time 466.44ms, mfu 26.92%
iter 64800: loss 0.3146, time 468.74ms, mfu 26.93%
iter 64850: loss 0.3208, time 471.12ms, mfu 26.93%
iter 64900: loss 0.3173, time 469.58ms, mfu 26.93%
iter 64950: loss 0.3088, time 464.13ms, mfu 26.97%
iter 65000: loss 0.3102, time 466.53ms, mfu 26.99%
iter 65050: loss 0.3165, time 466.61ms, mfu 27.01%
iter 65100: loss 0.3249, time 466.68ms, mfu 27.03%
iter 65150: loss 0.3183, time 464.21ms, mfu 27.05%
iter 65200: loss 0.3117, time 463.66ms, mfu 27.08%
iter 65250: loss 0.3252, time 468.83ms, mfu 27.08%
iter 65300: loss 0.3090, time 475.62ms, mfu 27.04%
iter 65350: loss 0.3167, time 467.96ms, mfu 27.04%
iter 65400: loss 0.3252, time 467.23ms, mfu 27.05%
iter 65450: loss 0.3097, time 469.89ms, mfu 27.04%
iter 65500: loss 0.3129, time 467.06ms, mfu 27.05%
iter 65550: loss 0.3352, time 468.31ms, mfu 27.06%
iter 65600: loss 0.3228, time 467.23ms, mfu 27.06%
iter 65650: loss 0.3141, time 473.82ms, mfu 27.03%
iter 65700: loss 0.3107, time 462.07ms, mfu 27.07%
iter 65750: loss 0.3196, time 466.40ms, mfu 27.08%
iter 65800: loss 0.3178, time 468.44ms, mfu 27.08%
iter 65850: loss 0.3248, time 468.50ms, mfu 27.08%
iter 65900: loss 0.3142, time 466.07ms, mfu 27.09%
iter 65950: loss 0.3284, time 467.82ms, mfu 27.09%
iter 66000: loss 0.3120, time 464.11ms, mfu 27.11%
iter 66050: loss 0.3196, time 470.20ms, mfu 27.10%
iter 66100: loss 0.3172, time 461.84ms, mfu 27.13%
iter 66150: loss 0.3160, time 472.47ms, mfu 27.10%
